From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P31323	P31323	reviewed	KAP3_HUMAN	cAMP-dependent protein kinase type II-beta regulatory subunit	PRKAR2B	Homo sapiens (Human)	418
Q8WXD2	Q8WXD2	reviewed	SCG3_HUMAN	Secretogranin-3 (Secretogranin III) (SgIII)	SCG3 UNQ2502/PRO5990	Homo sapiens (Human)	468
O94875	O94875	reviewed	SRBS2_HUMAN	Sorbin and SH3 domain-containing protein 2 (Arg-binding protein 2) (ArgBP2) (Arg/Abl-interacting protein 2) (Sorbin)	SORBS2 ARGBP2 KIAA0777	Homo sapiens (Human)	1100
Q8TBE0	Q8TBE0	reviewed	BAHD1_HUMAN	Bromo adjacent homology domain-containing 1 protein (BAH domain-containing protein 1)	BAHD1 KIAA0945	Homo sapiens (Human)	780
Q5JSH3	Q5JSH3	reviewed	WDR44_HUMAN	WD repeat-containing protein 44 (Rabphilin-11)	WDR44 RPH11	Homo sapiens (Human)	913
Q13057	Q13057	reviewed	COASY_HUMAN	Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)]	COASY PSEC0106	Homo sapiens (Human)	564
O75533	O75533	reviewed	SF3B1_HUMAN	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	SF3B1 SAP155	Homo sapiens (Human)	1304
O94979	O94979	reviewed	SC31A_HUMAN	Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein)	SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334	Homo sapiens (Human)	1220
Q9UEY8	Q9UEY8	reviewed	ADDG_HUMAN	Gamma-adducin (Adducin-like protein 70)	ADD3 ADDL	Homo sapiens (Human)	706
P17096	P17096	reviewed	HMGA1_HUMAN	High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R)	HMGA1 HMGIY	Homo sapiens (Human)	107
Q9BZV1	Q9BZV1	reviewed	UBXN6_HUMAN	UBX domain-containing protein 6 (UBX domain-containing protein 1)	UBXN6 UBXD1 UBXDC2	Homo sapiens (Human)	441
P27816	P27816	reviewed	MAP4_HUMAN	Microtubule-associated protein 4 (MAP-4)	MAP4	Homo sapiens (Human)	1152
Q15772	Q15772	reviewed	SPEG_HUMAN	Striated muscle preferentially expressed protein kinase (EC 2.7.11.1) (Aortic preferentially expressed protein 1) (APEG-1)	SPEG APEG1 KIAA1297	Homo sapiens (Human)	3267
Q86U06	Q86U06	reviewed	RBM23_HUMAN	Probable RNA-binding protein 23 (CAPER beta) (CAPERbeta) (RNA-binding motif protein 23) (RNA-binding region-containing protein 4) (Splicing factor SF2)	RBM23 RNPC4 PP239	Homo sapiens (Human)	439
Q2TAM9	Q2TAM9	reviewed	TUSC1_HUMAN	Tumor suppressor candidate gene 1 protein (TSG-9) (TSG9)	TUSC1	Homo sapiens (Human)	212
Q6ZRI8	Q6ZRI8	reviewed	RHG36_HUMAN	Rho GTPase-activating protein 36	ARHGAP36	Homo sapiens (Human)	547
Q5JSL3	Q5JSL3	reviewed	DOC11_HUMAN	Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2)	DOCK11 ZIZ2	Homo sapiens (Human)	2073
Q99442	Q99442	reviewed	SEC62_HUMAN	Translocation protein SEC62 (Translocation protein 1) (TP-1) (hTP-1)	SEC62 TLOC1	Homo sapiens (Human)	399
Q9BUI4	Q9BUI4	reviewed	RPC3_HUMAN	DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C) (RNA polymerase III 62 kDa subunit) (RPC62)	POLR3C	Homo sapiens (Human)	534
Q8IXS6	Q8IXS6	reviewed	PALM2_HUMAN	Paralemmin-2	PALM2	Homo sapiens (Human)	379
Q9Y2Q0	Q9Y2Q0	reviewed	AT8A1_HUMAN	Phospholipid-transporting ATPase IA (EC 7.6.2.1) (ATPase class I type 8A member 1) (Chromaffin granule ATPase II) (P4-ATPase flippase complex alpha subunit ATP8A1)	ATP8A1 ATPIA	Homo sapiens (Human)	1164
Q15773	Q15773	reviewed	MLF2_HUMAN	Myeloid leukemia factor 2 (Myelodysplasia-myeloid leukemia factor 2)	MLF2	Homo sapiens (Human)	248
P51610	P51610	reviewed	HCFC1_HUMAN	Host cell factor 1 (HCF) (HCF-1) (C1 factor) (CFF) (VCAF) (VP16 accessory protein) [Cleaved into: HCF N-terminal chain 1; HCF N-terminal chain 2; HCF N-terminal chain 3; HCF N-terminal chain 4; HCF N-terminal chain 5; HCF N-terminal chain 6; HCF C-terminal chain 1; HCF C-terminal chain 2; HCF C-terminal chain 3; HCF C-terminal chain 4; HCF C-terminal chain 5; HCF C-terminal chain 6]	HCFC1 HCF1 HFC1	Homo sapiens (Human)	2035
Q9H0K1	Q9H0K1	reviewed	SIK2_HUMAN	Serine/threonine-protein kinase SIK2 (EC 2.7.11.1) (Qin-induced kinase) (Salt-inducible kinase 2) (SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2)	SIK2 KIAA0781 QIK SNF1LK2	Homo sapiens (Human)	926
Q9UIQ6	Q9UIQ6	reviewed	LCAP_HUMAN	Leucyl-cystinyl aminopeptidase (Cystinyl aminopeptidase) (EC 3.4.11.3) (Insulin-regulated membrane aminopeptidase) (Insulin-responsive aminopeptidase) (IRAP) (Oxytocinase) (OTase) (Placental leucine aminopeptidase) (P-LAP) [Cleaved into: Leucyl-cystinyl aminopeptidase, pregnancy serum form]	LNPEP OTASE	Homo sapiens (Human)	1025
Q9BUQ8	Q9BUQ8	reviewed	DDX23_HUMAN	Probable ATP-dependent RNA helicase DDX23 (EC 3.6.4.13) (100 kDa U5 snRNP-specific protein) (DEAD box protein 23) (PRP28 homolog) (U5-100kD)	DDX23	Homo sapiens (Human)	820
O75064	O75064	reviewed	DEN4B_HUMAN	DENN domain-containing protein 4B	DENND4B KIAA0476	Homo sapiens (Human)	1496
Q5T1M5	Q5T1M5	reviewed	FKB15_HUMAN	FK506-binding protein 15 (FKBP-15) (133 kDa FK506-binding protein) (133 kDa FKBP) (FKBP-133) (WASP- and FKBP-like protein) (WAFL)	FKBP15 KIAA0674	Homo sapiens (Human)	1219
Q6PD62	Q6PD62	reviewed	CTR9_HUMAN	RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1)	CTR9 KIAA0155 SH2BP1	Homo sapiens (Human)	1173
P23588	P23588	reviewed	IF4B_HUMAN	Eukaryotic translation initiation factor 4B (eIF-4B)	EIF4B	Homo sapiens (Human)	611
Q01538	Q01538	reviewed	MYT1_HUMAN	Myelin transcription factor 1 (MyT1) (Myelin transcription factor I) (MyTI) (PLPB1) (Proteolipid protein-binding protein)	MYT1 KIAA0835 KIAA1050 MTF1 MYTI PLPB1	Homo sapiens (Human)	1121
P61247	P61247	reviewed	RS3A_HUMAN	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (v-fos transformation effector protein) (Fte-1)	RPS3A FTE1 MFTL	Homo sapiens (Human)	264
P21333	P21333	reviewed	FLNA_HUMAN	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	FLNA FLN FLN1	Homo sapiens (Human)	2647
Q9UPR5	Q9UPR5	reviewed	NAC2_HUMAN	Sodium/calcium exchanger 2 (Na(+)/Ca(2+)-exchange protein 2) (Solute carrier family 8 member 2)	SLC8A2 KIAA1087 NCX2	Homo sapiens (Human)	921
Q15057	Q15057	reviewed	ACAP2_HUMAN	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)	ACAP2 CENTB2 KIAA0041	Homo sapiens (Human)	778
O76021	O76021	reviewed	RL1D1_HUMAN	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	RSL1D1 CATX11 CSIG PBK1 L12	Homo sapiens (Human)	490
P01241	P01241	reviewed	SOMA_HUMAN	Somatotropin (Growth hormone) (GH) (GH-N) (Growth hormone 1) (Pituitary growth hormone)	GH1	Homo sapiens (Human)	217
Q9HA65	Q9HA65	reviewed	TBC17_HUMAN	TBC1 domain family member 17	TBC1D17	Homo sapiens (Human)	648
Q7Z2K6	Q7Z2K6	reviewed	ERMP1_HUMAN	Endoplasmic reticulum metallopeptidase 1 (EC 3.4.-.-) (Felix-ina)	ERMP1 FXNA KIAA1815	Homo sapiens (Human)	904
P05408	P05408	reviewed	7B2_HUMAN	Neuroendocrine protein 7B2 (Pituitary polypeptide) (Secretogranin V) (Secretogranin-5) (Secretory granule endocrine protein I) [Cleaved into: N-terminal peptide; C-terminal peptide]	SCG5 SGNE1	Homo sapiens (Human)	212
P16157	P16157	reviewed	ANK1_HUMAN	Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)	ANK1 ANK	Homo sapiens (Human)	1881
P42224	P42224	reviewed	STAT1_HUMAN	Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)	STAT1	Homo sapiens (Human)	750
P29966	P29966	reviewed	MARCS_HUMAN	Myristoylated alanine-rich C-kinase substrate (MARCKS) (Protein kinase C substrate, 80 kDa protein, light chain) (80K-L protein) (PKCSL)	MARCKS MACS PRKCSL	Homo sapiens (Human)	332
Q9Y4J8	Q9Y4J8	reviewed	DTNA_HUMAN	Dystrobrevin alpha (DTN-A) (Alpha-dystrobrevin) (Dystrophin-related protein 3)	DTNA DRP3	Homo sapiens (Human)	743
Q08357	Q08357	reviewed	S20A2_HUMAN	Sodium-dependent phosphate transporter 2 (Gibbon ape leukemia virus receptor 2) (GLVR-2) (Phosphate transporter 2) (PiT-2) (Pit2) (hPit2) (Solute carrier family 20 member 2)	SLC20A2 GLVR2 PIT2	Homo sapiens (Human)	652
P35221	P35221	reviewed	CTNA1_HUMAN	Catenin alpha-1 (Alpha E-catenin) (Cadherin-associated protein) (Renal carcinoma antigen NY-REN-13)	CTNNA1	Homo sapiens (Human)	906
P61978	P61978	reviewed	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	HNRNPK HNRPK	Homo sapiens (Human)	463
P29972	P29972	reviewed	AQP1_HUMAN	Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Urine water channel) (Water channel protein for red blood cells and kidney proximal tubule)	AQP1 CHIP28	Homo sapiens (Human)	269
O95810	O95810	reviewed	CAVN2_HUMAN	Caveolae-associated protein 2 (Cavin-2) (PS-p68) (Phosphatidylserine-binding protein) (Serum deprivation-response protein)	CAVIN2 SDPR	Homo sapiens (Human)	425
Q9NQX5	Q9NQX5	reviewed	NPDC1_HUMAN	Neural proliferation differentiation and control protein 1 (NPDC-1)	NPDC1	Homo sapiens (Human)	325
P38159	P38159	reviewed	RBMX_HUMAN	RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	RBMX HNRPG RBMXP1	Homo sapiens (Human)	391
Q96E39	Q96E39	reviewed	RMXL1_HUMAN	RNA binding motif protein, X-linked-like-1 (Heterogeneous nuclear ribonucleoprotein G-like 1)	RBMXL1	Homo sapiens (Human)	390
Q6UX71	Q6UX71	reviewed	PXDC2_HUMAN	Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein)	PLXDC2 TEM7R UNQ2514/PRO6003	Homo sapiens (Human)	529
Q16799	Q16799	reviewed	RTN1_HUMAN	Reticulon-1 (Neuroendocrine-specific protein)	RTN1 NSP	Homo sapiens (Human)	776
Q8IX01	Q8IX01	reviewed	SUGP2_HUMAN	SURP and G-patch domain-containing protein 2 (Arginine/serine-rich-splicing factor 14) (Splicing factor, arginine/serine-rich 14)	SUGP2 KIAA0365 SFRS14	Homo sapiens (Human)	1082
Q96JM3	Q96JM3	reviewed	CHAP1_HUMAN	Chromosome alignment-maintaining phosphoprotein 1 (Zinc finger protein 828)	CHAMP1 C13orf8 CAMP CHAMP KIAA1802 ZNF828	Homo sapiens (Human)	812
Q8WXF7	Q8WXF7	reviewed	ATLA1_HUMAN	Atlastin-1 (EC 3.6.5.-) (Brain-specific GTP-binding protein) (GTP-binding protein 3) (GBP-3) (hGBP3) (Guanine nucleotide-binding protein 3) (Spastic paraplegia 3 protein A)	ATL1 GBP3 SPG3A	Homo sapiens (Human)	558
O75528	O75528	reviewed	TADA3_HUMAN	Transcriptional adapter 3 (ADA3 homolog) (hADA3) (STAF54) (Transcriptional adapter 3-like) (ADA3-like protein)	TADA3 ADA3 TADA3L	Homo sapiens (Human)	432
Q96EV2	Q96EV2	reviewed	RBM33_HUMAN	RNA-binding protein 33 (Proline-rich protein 8) (RNA-binding motif protein 33)	RBM33 PRR8	Homo sapiens (Human)	1170
Q99959	Q99959	reviewed	PKP2_HUMAN	Plakophilin-2	PKP2	Homo sapiens (Human)	881
H3BV60	H3BV60	reviewed	TGR3L_HUMAN	Transforming growth factor-beta receptor type 3-like protein (TGF-beta receptor type-3-like protein) (TGFR-3L) (Transforming growth factor-beta receptor type III-like protein) (TGF-beta receptor type III-like protein)	TGFBR3L	Homo sapiens (Human)	292
P17252	P17252	reviewed	KPCA_HUMAN	Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13)	PRKCA PKCA PRKACA	Homo sapiens (Human)	672
Q9Y216	Q9Y216	reviewed	MTMR7_HUMAN	Myotubularin-related protein 7 (Inositol 1,3-bisphosphate phosphatase) (EC 3.1.3.-) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)	MTMR7	Homo sapiens (Human)	660
P13521	P13521	reviewed	SCG2_HUMAN	Secretogranin-2 (Chromogranin-C) (Secretogranin II) (SgII) [Cleaved into: Secretoneurin (SN); Manserin]	SCG2 CHGC	Homo sapiens (Human)	617
Q96ST2	Q96ST2	reviewed	IWS1_HUMAN	Protein IWS1 homolog (IWS1-like protein)	IWS1 IWS1L	Homo sapiens (Human)	819
Q9P266	Q9P266	reviewed	JCAD_HUMAN	Junctional cadherin 5-associated protein (Junctional protein associated with coronary artery disease) (JCAD)	JCAD KIAA1462	Homo sapiens (Human)	1359
Q13242	Q13242	reviewed	SRSF9_HUMAN	Serine/arginine-rich splicing factor 9 (Pre-mRNA-splicing factor SRp30C) (Splicing factor, arginine/serine-rich 9)	SRSF9 SFRS9 SRP30C	Homo sapiens (Human)	221
O15417	O15417	reviewed	TNC18_HUMAN	Trinucleotide repeat-containing gene 18 protein (Long CAG trinucleotide repeat-containing gene 79 protein)	TNRC18 CAGL79 KIAA1856	Homo sapiens (Human)	2968
Q9UNL2	Q9UNL2	reviewed	SSRG_HUMAN	Translocon-associated protein subunit gamma (TRAP-gamma) (Signal sequence receptor subunit gamma) (SSR-gamma)	SSR3 TRAPG	Homo sapiens (Human)	185
O15027	O15027	reviewed	SC16A_HUMAN	Protein transport protein Sec16A (SEC16 homolog A) (p250)	SEC16A KIAA0310 SEC16 SEC16L	Homo sapiens (Human)	2357
Q6ZSS7	Q6ZSS7	reviewed	MFSD6_HUMAN	Major facilitator superfamily domain-containing protein 6 (Macrophage MHC class I receptor 2 homolog)	MFSD6 MMR2	Homo sapiens (Human)	791
O43166	O43166	reviewed	SI1L1_HUMAN	Signal-induced proliferation-associated 1-like protein 1 (SIPA1-like protein 1) (High-risk human papilloma viruses E6 oncoproteins targeted protein 1) (E6-targeted protein 1)	SIPA1L1 E6TP1 KIAA0440	Homo sapiens (Human)	1804
O94804	O94804	reviewed	STK10_HUMAN	Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)	STK10 LOK	Homo sapiens (Human)	968
O43765	O43765	reviewed	SGTA_HUMAN	Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP)	SGTA SGT SGT1	Homo sapiens (Human)	313
O14576	O14576	reviewed	DC1I1_HUMAN	Cytoplasmic dynein 1 intermediate chain 1 (Cytoplasmic dynein intermediate chain 1) (Dynein intermediate chain 1, cytosolic) (DH IC-1)	DYNC1I1 DNCI1 DNCIC1	Homo sapiens (Human)	645
Q8NAV1	Q8NAV1	reviewed	PR38A_HUMAN	Pre-mRNA-splicing factor 38A	PRPF38A	Homo sapiens (Human)	312
P09874	P09874	reviewed	PARP1_HUMAN	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (NT-PARP-1) (Poly [ADP-ribose] polymerase 1, 24-kDa form) (Poly [ADP-ribose] polymerase 1, 28-kDa form)]	PARP1 ADPRT PPOL	Homo sapiens (Human)	1014
Q9P035	Q9P035	reviewed	HACD3_HUMAN	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 3) (HACD3) (Butyrate-induced protein 1) (B-ind1) (hB-ind1) (Protein-tyrosine phosphatase-like A domain-containing protein 1)	HACD3 BIND1 PTPLAD1	Homo sapiens (Human)	362
P35579	P35579	reviewed	MYH9_HUMAN	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)	MYH9	Homo sapiens (Human)	1960
P51531	P51531	reviewed	SMCA2_HUMAN	Probable global transcription activator SNF2L2 (EC 3.6.4.-) (ATP-dependent helicase SMARCA2) (BRG1-associated factor 190B) (BAF190B) (Protein brahma homolog) (hBRM) (SNF2-alpha) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2)	SMARCA2 BAF190B BRM SNF2A SNF2L2	Homo sapiens (Human)	1590
Q14676	Q14676	reviewed	MDC1_HUMAN	Mediator of DNA damage checkpoint protein 1 (Nuclear factor with BRCT domains 1)	MDC1 KIAA0170 NFBD1	Homo sapiens (Human)	2089
O75367	O75367	reviewed	H2AY_HUMAN	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205)	MACROH2A1 H2AFY	Homo sapiens (Human)	369
O75151	O75151	reviewed	PHF2_HUMAN	Lysine-specific demethylase PHF2 (EC 1.14.11.-) (GRC5) (PHD finger protein 2)	PHF2 CENP-35 KIAA0662	Homo sapiens (Human)	1096
P41208	P41208	reviewed	CETN2_HUMAN	Centrin-2 (Caltractin isoform 1)	CETN2 CALT CEN2	Homo sapiens (Human)	172
Q9UDY2	Q9UDY2	reviewed	ZO2_HUMAN	Tight junction protein ZO-2 (Tight junction protein 2) (Zona occludens protein 2) (Zonula occludens protein 2)	TJP2 X104 ZO2	Homo sapiens (Human)	1190
Q14980	Q14980	reviewed	NUMA1_HUMAN	Nuclear mitotic apparatus protein 1 (Nuclear matrix protein-22) (NMP-22) (Nuclear mitotic apparatus protein) (NuMA protein) (SP-H antigen)	NUMA1 NMP22 NUMA	Homo sapiens (Human)	2115
P51608	P51608	reviewed	MECP2_HUMAN	Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)	MECP2	Homo sapiens (Human)	486
Q86UP2	Q86UP2	reviewed	KTN1_HUMAN	Kinectin (CG-1 antigen) (Kinesin receptor)	KTN1 CG1 KIAA0004	Homo sapiens (Human)	1357
Q9BTU6	Q9BTU6	reviewed	P4K2A_HUMAN	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	PI4K2A	Homo sapiens (Human)	479
P06733	P06733	reviewed	ENOA_HUMAN	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	434
Q14247	Q14247	reviewed	SRC8_HUMAN	Src substrate cortactin (Amplaxin) (Oncogene EMS1)	CTTN EMS1	Homo sapiens (Human)	550
Q9BZC7	Q9BZC7	reviewed	ABCA2_HUMAN	ATP-binding cassette sub-family A member 2 (EC 7.6.2.-) (ATP-binding cassette transporter 2) (ATP-binding cassette 2)	ABCA2 ABC2 KIAA1062	Homo sapiens (Human)	2435
P18754	P18754	reviewed	RCC1_HUMAN	Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1)	RCC1 CHC1	Homo sapiens (Human)	421
Q9UKM9	Q9UKM9	reviewed	RALY_HUMAN	RNA-binding protein Raly (Autoantigen p542) (Heterogeneous nuclear ribonucleoprotein C-like 2) (hnRNP core protein C-like 2) (hnRNP associated with lethal yellow protein homolog)	RALY HNRPCL2 P542	Homo sapiens (Human)	306
Q8ND56	Q8ND56	reviewed	LS14A_HUMAN	Protein LSM14 homolog A (Protein FAM61A) (Protein SCD6 homolog) (Putative alpha-synuclein-binding protein) (AlphaSNBP) (RNA-associated protein 55A) (hRAP55) (hRAP55A)	LSM14A C19orf13 FAM61A RAP55 RAP55A	Homo sapiens (Human)	463
Q96T23	Q96T23	reviewed	RSF1_HUMAN	Remodeling and spacing factor 1 (Rsf-1) (HBV pX-associated protein 8) (Hepatitis B virus X-associated protein) (p325 subunit of RSF chromatin-remodeling complex)	RSF1 HBXAP XAP8	Homo sapiens (Human)	1441
Q5F1R6	Q5F1R6	reviewed	DJC21_HUMAN	DnaJ homolog subfamily C member 21 (DnaJ homolog subfamily A member 5) (Protein GS3)	DNAJC21 DNAJA5	Homo sapiens (Human)	531
P85037	P85037	reviewed	FOXK1_HUMAN	Forkhead box protein K1 (Myocyte nuclear factor) (MNF)	FOXK1 MNF	Homo sapiens (Human)	733
Q96B97	Q96B97	reviewed	SH3K1_HUMAN	SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1)	SH3KBP1 CIN85	Homo sapiens (Human)	665
O14686	O14686	reviewed	KMT2D_HUMAN	Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.364) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2)	KMT2D ALR MLL2 MLL4	Homo sapiens (Human)	5537
Q9Y2W1	Q9Y2W1	reviewed	TR150_HUMAN	Thyroid hormone receptor-associated protein 3 (BCLAF1 and THRAP3 family member 2) (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	THRAP3 BCLAF2 TRAP150	Homo sapiens (Human)	955
Q9H3Z4	Q9H3Z4	reviewed	DNJC5_HUMAN	DnaJ homolog subfamily C member 5 (Ceroid-lipofuscinosis neuronal protein 4) (Cysteine string protein) (CSP)	DNAJC5 CLN4	Homo sapiens (Human)	198
Q99590	Q99590	reviewed	SCAFB_HUMAN	Protein SCAF11 (CTD-associated SR protein 11) (Renal carcinoma antigen NY-REN-40) (SC35-interacting protein 1) (SR-related and CTD-associated factor 11) (SRSF2-interacting protein) (Serine/arginine-rich splicing factor 2-interacting protein) (Splicing factor, arginine/serine-rich 2-interacting protein) (Splicing regulatory protein 129) (SRrp129)	SCAF11 CASP11 SFRS2IP SIP1 SRSF2IP	Homo sapiens (Human)	1463
O60749	O60749	reviewed	SNX2_HUMAN	Sorting nexin-2 (Transformation-related gene 9 protein) (TRG-9)	SNX2 TRG9	Homo sapiens (Human)	519
Q9Y2D5	Q9Y2D5	reviewed	AKAP2_HUMAN	A-kinase anchor protein 2 (AKAP-2) (AKAP-KL) (Protein kinase A-anchoring protein 2) (PRKA2)	AKAP2 KIAA0920 PRKA2	Homo sapiens (Human)	859
Q9GZR7	Q9GZR7	reviewed	DDX24_HUMAN	ATP-dependent RNA helicase DDX24 (EC 3.6.4.13) (DEAD box protein 24)	DDX24	Homo sapiens (Human)	859
Q9Y5Y0	Q9Y5Y0	reviewed	FLVC1_HUMAN	Heme transporter FLVCR1 (Feline leukemia virus subgroup C receptor-related protein 1) (Feline leukemia virus subgroup C receptor) (hFLVCR)	FLVCR1 FLVCR	Homo sapiens (Human)	555
O60832	O60832	reviewed	DKC1_HUMAN	H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)	DKC1 NOLA4	Homo sapiens (Human)	514
Q96IG2	Q96IG2	reviewed	FXL20_HUMAN	F-box/LRR-repeat protein 20 (F-box and leucine-rich repeat protein 20) (F-box/LRR-repeat protein 2-like)	FBXL20 FBL2	Homo sapiens (Human)	436
Q96ST3	Q96ST3	reviewed	SIN3A_HUMAN	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	SIN3A	Homo sapiens (Human)	1273
Q9BY89	Q9BY89	reviewed	K1671_HUMAN	Uncharacterized protein KIAA1671	KIAA1671	Homo sapiens (Human)	1806
Q5TZA2	Q5TZA2	reviewed	CROCC_HUMAN	Rootletin (Ciliary rootlet coiled-coil protein)	CROCC KIAA0445	Homo sapiens (Human)	2017
Q92508	Q92508	reviewed	PIEZ1_HUMAN	Piezo-type mechanosensitive ion channel component 1 (Membrane protein induced by beta-amyloid treatment) (Mib) (Protein FAM38A)	PIEZO1 FAM38A KIAA0233	Homo sapiens (Human)	2521
Q9Y3E1	Q9Y3E1	reviewed	HDGR3_HUMAN	Hepatoma-derived growth factor-related protein 3 (HRP-3) (Hepatoma-derived growth factor 2) (HDGF-2)	HDGFL3 HDGF2 HDGFRP3 CGI-142	Homo sapiens (Human)	203
P12036	P12036	reviewed	NFH_HUMAN	Neurofilament heavy polypeptide (NF-H) (200 kDa neurofilament protein) (Neurofilament triplet H protein)	NEFH KIAA0845 NFH	Homo sapiens (Human)	1026
Q86VE0	Q86VE0	reviewed	MYPOP_HUMAN	Myb-related transcription factor, partner of profilin (Myb-related protein p42POP) (Partner of profilin)	MYPOP P42POP	Homo sapiens (Human)	399
O00567	O00567	reviewed	NOP56_HUMAN	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	Homo sapiens (Human)	594
Q13045	Q13045	reviewed	FLII_HUMAN	Protein flightless-1 homolog	FLII FLIL	Homo sapiens (Human)	1269
P35613	P35613	reviewed	BASI_HUMAN	Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (Hepatoma-associated antigen) (HAb18G) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (CD antigen CD147)	BSG UNQ6505/PRO21383	Homo sapiens (Human)	385
