From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O95294	O95294	reviewed	RASL1_HUMAN	RasGAP-activating-like protein 1 (RAS protein activator like 1) (Ras GTPase-activating-like protein)	RASAL1 RASAL	Homo sapiens (Human)	804
Q15233	Q15233	reviewed	NONO_HUMAN	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (p54(nrb)) (p54nrb) (55 kDa nuclear protein) (NMT55) (DNA-binding p52/p100 complex, 52 kDa subunit)	NONO NRB54	Homo sapiens (Human)	471
P05186	P05186	reviewed	PPBT_HUMAN	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNS-ALP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase) (EC 3.9.1.1)	ALPL	Homo sapiens (Human)	524
Q9UBU8	Q9UBU8	reviewed	MO4L1_HUMAN	Mortality factor 4-like protein 1 (MORF-related gene 15 protein) (Protein MSL3-1) (Transcription factor-like protein MRG15)	MORF4L1 MRG15 FWP006 HSPC008 HSPC061 PP368	Homo sapiens (Human)	362
Q9H063	Q9H063	reviewed	MAF1_HUMAN	Repressor of RNA polymerase III transcription MAF1 homolog	MAF1	Homo sapiens (Human)	256
Q9HC78	Q9HC78	reviewed	ZBT20_HUMAN	Zinc finger and BTB domain-containing protein 20 (Dendritic-derived BTB/POZ zinc finger protein) (Zinc finger protein 288)	ZBTB20 DPZF ZNF288	Homo sapiens (Human)	741
Q92643	Q92643	reviewed	GPI8_HUMAN	GPI-anchor transamidase (GPI transamidase) (EC 3.-.-.-) (GPI8 homolog) (hGPI8) (Phosphatidylinositol-glycan biosynthesis class K protein) (PIG-K)	PIGK GPI8	Homo sapiens (Human)	395
Q96HW7	Q96HW7	reviewed	INT4_HUMAN	Integrator complex subunit 4 (Int4)	INTS4 MSTP093	Homo sapiens (Human)	963
P50443	P50443	reviewed	S26A2_HUMAN	Sulfate transporter (Diastrophic dysplasia protein) (Solute carrier family 26 member 2)	SLC26A2 DTD DTDST	Homo sapiens (Human)	739
Q99757	Q99757	reviewed	THIOM_HUMAN	Thioredoxin, mitochondrial (MTRX) (Mt-Trx) (Thioredoxin-2)	TXN2 TRX2	Homo sapiens (Human)	166
Q13151	Q13151	reviewed	ROA0_HUMAN	Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0)	HNRNPA0 HNRPA0	Homo sapiens (Human)	305
Q6WKZ4	Q6WKZ4	reviewed	RFIP1_HUMAN	Rab11 family-interacting protein 1 (Rab11-FIP1) (Rab-coupling protein)	RAB11FIP1 RCP	Homo sapiens (Human)	1283
Q14168	Q14168	reviewed	MPP2_HUMAN	MAGUK p55 subfamily member 2 (Discs large homolog 2) (Protein MPP2)	MPP2 DLG2	Homo sapiens (Human)	576
Q14289	Q14289	reviewed	FAK2_HUMAN	Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK)	PTK2B FAK2 PYK2 RAFTK	Homo sapiens (Human)	1009
P60903	P60903	reviewed	S10AA_HUMAN	Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)	S100A10 ANX2LG CAL1L CLP11	Homo sapiens (Human)	97
O95825	O95825	reviewed	QORL1_HUMAN	Quinone oxidoreductase-like protein 1 (EC 1.-.-.-) (Protein 4P11) (Quinone oxidoreductase homolog 1) (QOH-1) (Zeta-crystallin homolog)	CRYZL1 4P11	Homo sapiens (Human)	349
P01871	P01871	reviewed	IGHM_HUMAN	Immunoglobulin heavy constant mu (Ig mu chain C region) (Ig mu chain C region BOT) (Ig mu chain C region GAL) (Ig mu chain C region OU)	IGHM	Homo sapiens (Human)	474
Q9UL33	Q9UL33	reviewed	TPC2L_HUMAN	Trafficking protein particle complex subunit 2-like protein	TRAPPC2L HSPC126	Homo sapiens (Human)	140
Q9Y2S7	Q9Y2S7	reviewed	PDIP2_HUMAN	Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38)	POLDIP2 PDIP38 POLD4 HSPC017	Homo sapiens (Human)	368
Q7Z7H5	Q7Z7H5	reviewed	TMED4_HUMAN	Transmembrane emp24 domain-containing protein 4 (Endoplasmic reticulum stress-response protein 25) (ERS25) (GMP25iso) (Putative NF-kappa-B-activating protein 156) (p24 family protein alpha-3) (p24alpha3)	TMED4 ERS25	Homo sapiens (Human)	227
P38919	P38919	reviewed	IF4A3_HUMAN	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	EIF4A3 DDX48 KIAA0111	Homo sapiens (Human)	411
P16070	P16070	reviewed	CD44_HUMAN	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44 LHR MDU2 MDU3 MIC4	Homo sapiens (Human)	742
P48745	P48745	reviewed	CCN3_HUMAN	CCN family member 3 (Cellular communication network factor 3) (Insulin-like growth factor-binding protein 9) (IBP-9) (IGF-binding protein 9) (IGFBP-9) (Nephro blastoma-overexpressed gene protein homolog) (Protein NOV homolog) (NovH)	CCN3 IGFBP9 NOV NOVH	Homo sapiens (Human)	357
O43390	O43390	reviewed	HNRPR_HUMAN	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	Homo sapiens (Human)	633
Q7Z392	Q7Z392	reviewed	TPC11_HUMAN	Trafficking protein particle complex subunit 11	TRAPPC11 C4orf41	Homo sapiens (Human)	1133
P30536	P30536	reviewed	TSPO_HUMAN	Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR)	TSPO BZRP MBR	Homo sapiens (Human)	169
P19388	P19388	reviewed	RPAB1_HUMAN	DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (DNA-directed RNA polymerase II 23 kDa polypeptide) (DNA-directed RNA polymerase II subunit E) (RPB5 homolog) (XAP4)	POLR2E	Homo sapiens (Human)	210
P07947	P07947	reviewed	YES_HUMAN	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	YES1 YES	Homo sapiens (Human)	543
Q9Y2L5	Q9Y2L5	reviewed	TPPC8_HUMAN	Trafficking protein particle complex subunit 8 (Protein TRS85 homolog)	TRAPPC8 KIAA1012	Homo sapiens (Human)	1435
P09661	P09661	reviewed	RU2A_HUMAN	U2 small nuclear ribonucleoprotein A' (U2 snRNP A')	SNRPA1	Homo sapiens (Human)	255
O15400	O15400	reviewed	STX7_HUMAN	Syntaxin-7	STX7	Homo sapiens (Human)	261
P48047	P48047	reviewed	ATPO_HUMAN	ATP synthase subunit O, mitochondrial (ATP synthase peripheral stalk subunit OSCP) (Oligomycin sensitivity conferral protein) (OSCP)	ATP5PO ATP5O ATPO	Homo sapiens (Human)	213
Q9H6U8	Q9H6U8	reviewed	ALG9_HUMAN	Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Asparagine-linked glycosylation protein 9 homolog) (Disrupted in bipolar disorder protein 1) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)	ALG9 DIBD1	Homo sapiens (Human)	611
P50851	P50851	reviewed	LRBA_HUMAN	Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein)	LRBA BGL CDC4L LBA	Homo sapiens (Human)	2863
Q96C11	Q96C11	reviewed	FGGY_HUMAN	FGGY carbohydrate kinase domain-containing protein (D-ribulokinase FGGY) (EC 2.7.1.47)	FGGY	Homo sapiens (Human)	551
Q9UJ68	Q9UJ68	reviewed	MSRA_HUMAN	Mitochondrial peptide methionine sulfoxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase) (PMSR)	MSRA	Homo sapiens (Human)	235
Q9NRX2	Q9NRX2	reviewed	RM17_HUMAN	Large ribosomal subunit protein bL17m (39S ribosomal protein L17, mitochondrial) (L17mt) (MRP-L17) (LYST-interacting protein 2)	MRPL17 LIP2	Homo sapiens (Human)	175
P30047	P30047	reviewed	GFRP_HUMAN	GTP cyclohydrolase 1 feedback regulatory protein (GFRP) (GTP cyclohydrolase I feedback regulatory protein) (p35)	GCHFR GFRP	Homo sapiens (Human)	84
P46952	P46952	reviewed	3HAO_HUMAN	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (h3HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)	HAAO	Homo sapiens (Human)	286
Q6UW68	Q6UW68	reviewed	TM205_HUMAN	Transmembrane protein 205	TMEM205 UNQ501/PRO1018	Homo sapiens (Human)	189
P42892	P42892	reviewed	ECE1_HUMAN	Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71)	ECE1	Homo sapiens (Human)	770
Q8WVC6	Q8WVC6	reviewed	DCAKD_HUMAN	Dephospho-CoA kinase domain-containing protein	DCAKD	Homo sapiens (Human)	231
Q93050	Q93050	reviewed	VPP1_HUMAN	V-type proton ATPase 116 kDa subunit a 1 (V-ATPase 116 kDa subunit a 1) (Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit) (Vacuolar adenosine triphosphatase subunit Ac116) (Vacuolar proton pump subunit 1) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1)	ATP6V0A1 ATP6N1 ATP6N1A VPP1	Homo sapiens (Human)	837
P00167	P00167	reviewed	CYB5_HUMAN	Cytochrome b5 (Microsomal cytochrome b5 type A) (MCB5)	CYB5A CYB5	Homo sapiens (Human)	134
Q9Y3L5	Q9Y3L5	reviewed	RAP2C_HUMAN	Ras-related protein Rap-2c (EC 3.6.5.2)	RAP2C	Homo sapiens (Human)	183
Q9Y6X4	Q9Y6X4	reviewed	F169A_HUMAN	Soluble lamin-associated protein of 75 kDa (SLAP75) (Protein FAM169A)	FAM169A KIAA0888	Homo sapiens (Human)	670
Q8TCG5	Q8TCG5	reviewed	CPT1C_HUMAN	Carnitine O-palmitoyltransferase 1, brain isoform (CPT1-B) (EC 2.3.1.21) (CPT IC) (Carnitine O-palmitoyltransferase I, brain isoform) (CPTI-B) (Carnitine palmitoyltransferase 1C)	CPT1C CATL1	Homo sapiens (Human)	803
P52298	P52298	reviewed	NCBP2_HUMAN	Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (Cell proliferation-inducing gene 55 protein) (NCBP 20 kDa subunit) (CBP20) (NCBP-interacting protein 1) (NIP1)	NCBP2 CBP20 PIG55	Homo sapiens (Human)	156
Q96DC8	Q96DC8	reviewed	ECHD3_HUMAN	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	ECHDC3 PP1494 PP8332	Homo sapiens (Human)	303
Q9NXE4	Q9NXE4	reviewed	NSMA3_HUMAN	Sphingomyelin phosphodiesterase 4 (EC 3.1.4.12) (Neutral sphingomyelinase 3) (nSMase-3) (nSMase3) (Neutral sphingomyelinase III)	SMPD4 KIAA1418 SKNY	Homo sapiens (Human)	866
P61326	P61326	reviewed	MGN_HUMAN	Protein mago nashi homolog	MAGOH MAGOHA	Homo sapiens (Human)	146
P40121	P40121	reviewed	CAPG_HUMAN	Macrophage-capping protein (Actin regulatory protein CAP-G)	CAPG AFCP MCP	Homo sapiens (Human)	348
O15143	O15143	reviewed	ARC1B_HUMAN	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	ARPC1B ARC41	Homo sapiens (Human)	372
O95298	O95298	reviewed	NDUC2_HUMAN	NADH dehydrogenase [ubiquinone] 1 subunit C2 (Complex I-B14.5b) (CI-B14.5b) (Human lung cancer oncogene 1 protein) (HLC-1) (NADH-ubiquinone oxidoreductase subunit B14.5b)	NDUFC2 HLC1	Homo sapiens (Human)	119
P24539	P24539	reviewed	AT5F1_HUMAN	ATP synthase F(0) complex subunit B1, mitochondrial (ATP synthase peripheral stalk-membrane subunit b) (ATP synthase proton-transporting mitochondrial F(0) complex subunit B1) (ATP synthase subunit b) (ATPase subunit b)	ATP5PB ATP5F1	Homo sapiens (Human)	256
Q8WTW3	Q8WTW3	reviewed	COG1_HUMAN	Conserved oligomeric Golgi complex subunit 1 (COG complex subunit 1) (Component of oligomeric Golgi complex 1)	COG1 KIAA1381 LDLB	Homo sapiens (Human)	980
Q9H078	Q9H078	reviewed	CLPB_HUMAN	Mitochondrial disaggregase (EC 3.6.1.-) (Suppressor of potassium transport defect 3) [Cleaved into: Mitochondrial disaggregase, cleaved form]	CLPB SKD3	Homo sapiens (Human)	707
O60264	O60264	reviewed	SMCA5_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	SMARCA5 SNF2H WCRF135	Homo sapiens (Human)	1052
P49069	P49069	reviewed	CAMLG_HUMAN	Guided entry of tail-anchored proteins factor CAMLG (Calcium signal-modulating cyclophilin ligand)	CAMLG CAML GET2	Homo sapiens (Human)	296
Q9NQX5	Q9NQX5	reviewed	NPDC1_HUMAN	Neural proliferation differentiation and control protein 1 (NPDC-1)	NPDC1	Homo sapiens (Human)	325
Q16773	Q16773	reviewed	KAT1_HUMAN	Kynurenine--oxoglutarate transaminase 1 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase) (EC 4.4.1.13) (Glutamine transaminase K) (GTK) (Glutamine--phenylpyruvate transaminase) (EC 2.6.1.64) (Kynurenine aminotransferase 1) (Kynurenine aminotransferase I) (KATI) (Kynurenine--oxoglutarate transaminase I)	KYAT1 CCBL1	Homo sapiens (Human)	422
P34059	P34059	reviewed	GALNS_HUMAN	N-acetylgalactosamine-6-sulfatase (EC 3.1.6.4) (Chondroitinsulfatase) (Chondroitinase) (Galactose-6-sulfate sulfatase) (GalN6S) (N-acetylgalactosamine-6-sulfate sulfatase) (GalNAc6S sulfatase)	GALNS	Homo sapiens (Human)	522
Q9NX24	Q9NX24	reviewed	NHP2_HUMAN	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)	NHP2 NOLA2 HSPC286	Homo sapiens (Human)	153
P16284	P16284	reviewed	PECA1_HUMAN	Platelet endothelial cell adhesion molecule (PECAM-1) (EndoCAM) (GPIIA') (PECA1) (CD antigen CD31)	PECAM1	Homo sapiens (Human)	738
Q9P2L0	Q9P2L0	reviewed	WDR35_HUMAN	WD repeat-containing protein 35 (Intraflagellar transport protein 121 homolog)	WDR35 IFT121 KIAA1336	Homo sapiens (Human)	1181
O75489	O75489	reviewed	NDUS3_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)	NDUFS3	Homo sapiens (Human)	264
Q8TAM2	Q8TAM2	reviewed	TTC8_HUMAN	Tetratricopeptide repeat protein 8 (TPR repeat protein 8) (Bardet-Biedl syndrome 8 protein)	TTC8 BBS8	Homo sapiens (Human)	541
Q9NZD8	Q9NZD8	reviewed	SPG21_HUMAN	Maspardin (Acid cluster protein 33) (Spastic paraplegia 21 autosomal recessive Mast syndrome protein) (Spastic paraplegia 21 protein)	SPG21 ACP33 BM-019 GL010	Homo sapiens (Human)	308
Q8NDH2	Q8NDH2	reviewed	CC168_HUMAN	Leucine-rich repeat transmembrane protein CCDC168 (Coiled-coil domain-containing protein 168)	CCDC168 C13orf40	Homo sapiens (Human)	7081
Q86UV5	Q86UV5	reviewed	UBP48_HUMAN	Ubiquitin carboxyl-terminal hydrolase 48 (EC 3.4.19.12) (Deubiquitinating enzyme 48) (Ubiquitin thioesterase 48) (Ubiquitin-specific peptidase 48) (Ubiquitin-specific protease 48) (Ubiquitin-specific-processing protease 48)	USP48 USP31	Homo sapiens (Human)	1035
Q16698	Q16698	reviewed	DECR_HUMAN	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial (EC 1.3.1.124) (2,4-dienoyl-CoA reductase [NADPH]) (4-enoyl-CoA reductase [NADPH]) (Short chain dehydrogenase/reductase family 18C member 1)	DECR1 DECR SDR18C1	Homo sapiens (Human)	335
Q9H2M9	Q9H2M9	reviewed	RBGPR_HUMAN	Rab3 GTPase-activating protein non-catalytic subunit (RGAP-iso) (Rab3 GTPase-activating protein 150 kDa subunit) (Rab3-GAP p150) (Rab3-GAP150) (Rab3-GAP regulatory subunit)	RAB3GAP2 KIAA0839	Homo sapiens (Human)	1393
O15533	O15533	reviewed	TPSN_HUMAN	Tapasin (TPN) (TPSN) (NGS-17) (TAP-associated protein) (TAP-binding protein)	TAPBP NGS17 TAPA	Homo sapiens (Human)	448
Q06546	Q06546	reviewed	GABPA_HUMAN	GA-binding protein alpha chain (GABP subunit alpha) (Nuclear respiratory factor 2 subunit alpha) (Transcription factor E4TF1-60)	GABPA E4TF1A	Homo sapiens (Human)	454
P69891	P69891	reviewed	HBG1_HUMAN	Hemoglobin subunit gamma-1 (Gamma-1-globin) (Hb F Agamma) (Hemoglobin gamma-1 chain) (Hemoglobin gamma-A chain)	HBG1 PRO2979	Homo sapiens (Human)	147
Q92673	Q92673	reviewed	SORL_HUMAN	Sortilin-related receptor (Low-density lipoprotein receptor relative with 11 ligand-binding repeats) (LDLR relative with 11 ligand-binding repeats) (LR11) (SorLA-1) (Sorting protein-related receptor containing LDLR class A repeats) (SorLA)	SORL1 C11orf32	Homo sapiens (Human)	2214
O75093	O75093	reviewed	SLIT1_HUMAN	Slit homolog 1 protein (Slit-1) (Multiple epidermal growth factor-like domains protein 4) (Multiple EGF-like domains protein 4)	SLIT1 KIAA0813 MEGF4 SLIL1	Homo sapiens (Human)	1534
Q9UGM6	Q9UGM6	reviewed	SYWM_HUMAN	Tryptophan--tRNA ligase, mitochondrial (EC 6.1.1.2) ((Mt)TrpRS) (Tryptophanyl-tRNA synthetase) (TrpRS)	WARS2	Homo sapiens (Human)	360
P46199	P46199	reviewed	IF2M_HUMAN	Translation initiation factor IF-2, mitochondrial (IF-2(Mt)) (IF-2Mt) (IF2(mt))	MTIF2	Homo sapiens (Human)	727
Q8IY31	Q8IY31	reviewed	IFT20_HUMAN	Intraflagellar transport protein 20 homolog (hIFT20)	IFT20	Homo sapiens (Human)	132
Q99729	Q99729	reviewed	ROAA_HUMAN	Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (APOBEC1-binding protein 1) (ABBP-1)	HNRNPAB ABBP1 HNRPAB	Homo sapiens (Human)	332
O75494	O75494	reviewed	SRS10_HUMAN	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR	Homo sapiens (Human)	262
P16219	P16219	reviewed	ACADS_HUMAN	Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)	ACADS	Homo sapiens (Human)	412
Q7L2H7	Q7L2H7	reviewed	EIF3M_HUMAN	Eukaryotic translation initiation factor 3 subunit M (eIF3m) (Fetal lung protein B5) (hFL-B5) (PCI domain-containing protein 1)	EIF3M HFLB5 PCID1 GA17 PNAS-125	Homo sapiens (Human)	374
Q5VT52	Q5VT52	reviewed	RPRD2_HUMAN	Regulation of nuclear pre-mRNA domain-containing protein 2	RPRD2 KIAA0460 HSPC099	Homo sapiens (Human)	1461
Q9C0E8	Q9C0E8	reviewed	LNP_HUMAN	Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark)	LNPK KIAA1715 LNP	Homo sapiens (Human)	428
P25705	P25705	reviewed	ATPA_HUMAN	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM	Homo sapiens (Human)	553
Q6NUQ1	Q6NUQ1	reviewed	RINT1_HUMAN	RAD50-interacting protein 1 (RAD50 interactor 1) (HsRINT-1) (RINT-1)	RINT1	Homo sapiens (Human)	792
Q6PIU2	Q6PIU2	reviewed	NCEH1_HUMAN	Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (Acetylalkylglycerol acetylhydrolase) (2-acetyl MAGE hydrolase) (EC 3.1.1.71) (Arylacetamide deacetylase-like 1)	NCEH1 AADACL1 KIAA1363	Homo sapiens (Human)	408
P39059	P39059	reviewed	COFA1_HUMAN	Collagen alpha-1(XV) chain [Cleaved into: Restin (Endostatin-XV) (Related to endostatin) (Restin-I); Restin-2 (Restin-II); Restin-3 (Restin-III); Restin-4 (Restin-IV)]	COL15A1	Homo sapiens (Human)	1388
Q8NBJ5	Q8NBJ5	reviewed	GT251_HUMAN	Procollagen galactosyltransferase 1 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 1) (ColGalT 1) (Glycosyltransferase 25 family member 1) (Hydroxylysine galactosyltransferase 1)	COLGALT1 GLT25D1 PSEC0241	Homo sapiens (Human)	622
O75947	O75947	reviewed	ATP5H_HUMAN	ATP synthase subunit d, mitochondrial (ATPase subunit d) (ATP synthase peripheral stalk subunit d)	ATP5PD ATP5H My032	Homo sapiens (Human)	161
O94822	O94822	reviewed	LTN1_HUMAN	E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING finger protein 160) (RING-type E3 ubiquitin transferase listerin) (Zinc finger protein 294)	LTN1 C21orf10 C21orf98 KIAA0714 RNF160 ZNF294 HSPC087	Homo sapiens (Human)	1766
Q9Y2R0	Q9Y2R0	reviewed	COA3_HUMAN	Cytochrome c oxidase assembly factor 3 homolog, mitochondrial (Coiled-coil domain-containing protein 56) (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 12 kDa)	COA3 CCDC56 MITRAC12 HSPC009	Homo sapiens (Human)	106
Q13643	Q13643	reviewed	FHL3_HUMAN	Four and a half LIM domains protein 3 (FHL-3) (Skeletal muscle LIM-protein 2) (SLIM-2)	FHL3 SLIM2	Homo sapiens (Human)	280
Q99727	Q99727	reviewed	TIMP4_HUMAN	Metalloproteinase inhibitor 4 (Tissue inhibitor of metalloproteinases 4) (TIMP-4)	TIMP4	Homo sapiens (Human)	224
Q9Y6X5	Q9Y6X5	reviewed	ENPP4_HUMAN	Bis(5'-adenosyl)-triphosphatase ENPP4 (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 4) (E-NPP 4) (NPP-4)	ENPP4 KIAA0879 NPP4	Homo sapiens (Human)	453
Q12841	Q12841	reviewed	FSTL1_HUMAN	Follistatin-related protein 1 (Follistatin-like protein 1)	FSTL1 FRP	Homo sapiens (Human)	308
P78527	P78527	reviewed	PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	PRKDC HYRC HYRC1	Homo sapiens (Human)	4128
Q9BRJ6	Q9BRJ6	reviewed	CG050_HUMAN	Uncharacterized protein C7orf50	C7orf50 FP15621	Homo sapiens (Human)	194
O14910	O14910	reviewed	LIN7A_HUMAN	Protein lin-7 homolog A (Lin-7A) (hLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Tax interaction protein 33) (TIP-33) (Vertebrate lin-7 homolog 1) (Veli-1)	LIN7A MALS1 VELI1	Homo sapiens (Human)	233
Q9HCD6	Q9HCD6	reviewed	TANC2_HUMAN	Protein TANC2 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 2)	TANC2 KIAA1148 KIAA1636	Homo sapiens (Human)	1990
Q6UWE0	Q6UWE0	reviewed	LRSM1_HUMAN	E3 ubiquitin-protein ligase LRSAM1 (EC 2.3.2.27) (Leucine-rich repeat and sterile alpha motif-containing protein 1) (RING-type E3 ubiquitin transferase LRSAM1) (Tsg101-associated ligase) (hTAL)	LRSAM1 TAL UNQ6496/PRO21356	Homo sapiens (Human)	723
Q15005	Q15005	reviewed	SPCS2_HUMAN	Signal peptidase complex subunit 2 (Microsomal signal peptidase 25 kDa subunit) (SPase 25 kDa subunit)	SPCS2 KIAA0102 SPC25	Homo sapiens (Human)	226
Q7Z3E5	Q7Z3E5	reviewed	ARMC9_HUMAN	LisH domain-containing protein ARMC9 (Armadillo repeat-containing protein 9) (Melanoma/melanocyte-specific tumor antigen KU-MEL-1) (NS21)	ARMC9 KIAA1868	Homo sapiens (Human)	818
P42167	P42167	reviewed	LAP2B_HUMAN	Lamina-associated polypeptide 2, isoforms beta/gamma (Thymopoietin, isoforms beta/gamma) (TP beta/gamma) (Thymopoietin-related peptide isoforms beta/gamma) (TPRP isoforms beta/gamma) [Cleaved into: Thymopoietin (TP) (Splenin); Thymopentin (TP5)]	TMPO LAP2	Homo sapiens (Human)	454
O75964	O75964	reviewed	ATP5L_HUMAN	ATP synthase subunit g, mitochondrial (ATPase subunit g) (ATP synthase membrane subunit g)	ATP5MG ATP5L	Homo sapiens (Human)	103
Q13423	Q13423	reviewed	NNTM_HUMAN	NAD(P) transhydrogenase, mitochondrial (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase) (Pyridine nucleotide transhydrogenase)	NNT	Homo sapiens (Human)	1086
Q9BRX8	Q9BRX8	reviewed	PXL2A_HUMAN	Peroxiredoxin-like 2A (Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes) (Protein PAMM) (Redox-regulatory protein FAM213A)	PRXL2A C10orf58 FAM213A PAMM PRO2290 PSEC0139 UNQ611/PRO1198	Homo sapiens (Human)	229
Q8NFV4	Q8NFV4	reviewed	ABHDB_HUMAN	Protein ABHD11 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 11) (Abhydrolase domain-containing protein 11) (Williams-Beuren syndrome chromosomal region 21 protein)	ABHD11 WBSCR21 PP1226	Homo sapiens (Human)	315
Q5TEU4	Q5TEU4	reviewed	NDUF5_HUMAN	Arginine-hydroxylase NDUFAF5, mitochondrial (EC 1.-.-.-) (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5) (Putative methyltransferase NDUFAF5) (EC 2.1.1.-)	NDUFAF5 C20orf7	Homo sapiens (Human)	345
Q13416	Q13416	reviewed	ORC2_HUMAN	Origin recognition complex subunit 2	ORC2 ORC2L	Homo sapiens (Human)	577
